Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
762,"D. Borcard","Dissecting the spatial structure of ecological data at multiple scales",2004,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4444374541&origin=inward",1,"2024-07-23 10:10:08","Article","10.1890/03-3111","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/4444374541",85,7,1826,1832,762,38.10,762,1,20,"","",""
292,"R.D. Gulati","Lakes in the Netherlands, their origin, eutrophication and restoration: State-of-the-art review",2002,"Hydrobiologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037098828&origin=inward",2,"2024-07-23 10:10:08","Article","10.1023/A:1021092427559","0018-8158","https://api.elsevier.com/content/abstract/scopus_id/0037098828",478,,73,106,292,13.27,292,1,22,"","",""
204,"C. Kaya","Improved salt tolerance of melon (Cucumis melo L.) by the addition of proline and potassium nitrate",2007,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S009884720700007X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250737900&origin=inward",3,"2024-07-23 10:10:08","Article","10.1016/j.envexpbot.2006.12.008","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/34250737900",60,3,397,403,204,12.00,204,1,17,"","",""
202,"M.H. Adatia","The effects of silicon on cucumber plants grown in recirculating nutrient solution",1986,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000297174&origin=inward",4,"2024-07-23 10:10:08","Article","10.1093/oxfordjournals.aob.a087212","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0000297174",58,3,343,351,202,5.32,202,1,38,"","",""
154,"J. Inbar","Plant growth enhancement and disease control by Trichoderma harzianum in vegetable seedlings grown under commercial conditions",1994,"European Journal of Plant Pathology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028042266&origin=inward",5,"2024-07-23 10:10:08","Article","10.1007/BF01876444","0929-1873","https://api.elsevier.com/content/abstract/scopus_id/0028042266",100,5,337,346,154,5.13,154,1,30,"","",""
131,"L. Zribi","Application of chlorophyll fluorescence for the diagnosis of salt stress in tomato ""Solanum lycopersicum (variety Rio Grande)""",2009,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423808004779","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61449091431&origin=inward",6,"2024-07-23 10:10:08","Article","10.1016/j.scienta.2008.11.025","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/61449091431",120,3,367,372,131,8.73,131,1,15,"","",""
130,"C.L. Ballaré","Impacts of solar ultraviolet-B radiation on terrestrial ecosystems of Tierra del Fuego (southern Argentina). An overview of recent progress",2001,"Journal of Photochemistry and Photobiology B: Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S101113440100152X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035448715&origin=inward",7,"2024-07-23 10:10:08","Article","10.1016/S1011-1344(01)00152-X","1011-1344","https://api.elsevier.com/content/abstract/scopus_id/0035448715",62,1,67,77,130,5.65,130,1,23,"","",""
128,"G. Samuoliene","LED irradiance level affects growth and nutritional quality of Brassica microgreens",2013,"Central European Journal of Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884525925&origin=inward",8,"2024-07-23 10:10:08","Article","10.2478/s11535-013-0246-1","1895-104X","https://api.elsevier.com/content/abstract/scopus_id/84884525925",8,12,1241,1249,128,11.64,128,1,11,"","",""
104,"D. Gilichinsky","Long-term preservation of microbial ecosystems in permafrost",1992,"Advances in Space Research","","https://api.elsevier.com/content/article/eid/1-s2.0-0273117792901806","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027105334&origin=inward",9,"2024-07-23 10:10:08","Article","10.1016/0273-1177(92)90180-6","0273-1177","https://api.elsevier.com/content/abstract/scopus_id/0027105334",12,4,255,263,104,3.25,104,1,32,"","",""
85,"C.D. Hung","LED light for in vitro and ex vitro efficient growth of economically important highbush blueberry (Vaccinium corymbosum L.)",2016,"Acta Physiologiae Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84971638423&origin=inward",10,"2024-07-23 10:10:08","Article","10.1007/s11738-016-2164-0","0137-5881","https://api.elsevier.com/content/abstract/scopus_id/84971638423",38,6,,,85,10.63,85,1,8,"","",""
81,"X. Meng","Composted biogas residue and spent mushroom substrate as a growth medium for tomato and pepper seedlings",2018,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479717309258","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029797549&origin=inward",11,"2024-07-23 10:10:08","Article","10.1016/j.jenvman.2017.09.056","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85029797549",216,,62,69,81,13.50,81,1,6,"","",""
