Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
252,"S. Reed","Changes to dryland rainfall result in rapid moss mortality and altered soil fertility",2012,"Nature Climate Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866871314&origin=inward",1,"2024-07-12 11:39:29","Article","10.1038/nclimate1596","1758-678X","https://api.elsevier.com/content/abstract/scopus_id/84866871314",2,10,752,755,252,21.00,252,1,12,"","",""
99,"K. Coe","Precipitation-driven carbon balance controls survivorship of desert biocrust mosses",2012,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864255478&origin=inward",2,"2024-07-12 11:39:29","Article","10.1890/11-2247.1","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/84864255478",93,7,1626,1636,99,8.25,99,1,12,"","",""
94,"A. Antoninka","Production of greenhouse-grown biocrust mosses and associated cyanobacteria to rehabilitate dryland soil function",2016,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84966549083&origin=inward",3,"2024-07-12 11:39:29","Article","10.1111/rec.12311","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/84966549083",24,3,324,335,94,11.75,94,1,8,"","",""
82,"R.L. Jia","Responses of biological soil crusts to sand burial in a revegetated area of the Tengger Desert, Northern China",2008,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071708002721","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53449101771&origin=inward",4,"2024-07-12 11:39:29","Article","10.1016/j.soilbio.2008.07.029","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/53449101771",40,11,2827,2834,82,5.13,82,1,16,"","",""
47,"C.V.Z. Cipro","Organic pollutants and their correlation with stable isotopes in vegetation from King George Island, Antarctica",2011,"Chemosphere","","https://api.elsevier.com/content/article/eid/1-s2.0-S0045653511008836","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860396077&origin=inward",5,"2024-07-12 11:39:29","Article","10.1016/j.chemosphere.2011.07.047","0045-6535","https://api.elsevier.com/content/abstract/scopus_id/84860396077",85,3,393,398,47,3.62,47,1,13,"","",""
26,"L.R. Stark","Effects of increased summer precipitation and N deposition on Mojave Desert populations of the biological crust moss Syntrichia caninervis",2011,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196310003538","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951767544&origin=inward",6,"2024-07-12 11:39:29","Article","10.1016/j.jaridenv.2010.12.015","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/79951767544",75,5,457,463,26,2.00,26,1,13,"","",""
25,"Y.G. Li","Moss patch size and microhabitats influence stoichiometry of moss crusts in a temperate desert, Central Asia",2019,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069522776&origin=inward",7,"2024-07-12 11:39:29","Article","10.1007/s11104-019-04191-x","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85069522776",443,1,55,72,25,5.00,25,1,5,"","",""
24,"L.R. Stark","Extended periods of hydration do not elicit dehardening to desiccation tolerance in regeneration trials of the moss syntrichia caninervis",2012,"International Journal of Plant Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859975637&origin=inward",8,"2024-07-12 11:39:29","Article","10.1086/663970","1058-5893","https://api.elsevier.com/content/abstract/scopus_id/84859975637",173,4,333,343,24,2.00,24,1,12,"","",""
19,"T. Wertin","Elevated CO <inf>2</inf> did not mitigate the effect of a short-term drought on biological soil crusts",2012,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867673035&origin=inward",9,"2024-07-12 11:39:29","Article","10.1007/s00374-012-0673-6","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/84867673035",48,7,797,805,19,1.58,19,1,12,"","",""
18,"W.D. Blankenship","Hydroseeding tackifiers and dryland moss restoration potential",2020,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070448871&origin=inward",10,"2024-07-12 11:39:29","Article","10.1111/rec.12997","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/85070448871",28,,,,18,4.50,18,1,4,"","",""
13,"B. Yin","Freeze-thaw cycles change the physiological sensitivity of Syntrichia caninervis to snow cover",2021,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S017616172100167X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115433833&origin=inward",11,"2024-07-12 11:39:29","Article","10.1016/j.jplph.2021.153528","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/85115433833",266,,,,13,4.33,13,1,3,"","",""
13,"K. Coe","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO<inf>2</inf>: Evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858337985&origin=inward",12,"2024-07-12 11:39:29","Article","10.1111/j.1399-3054.2012.01566.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/84858337985",144,4,346,356,13,1.08,13,1,12,"","",""
12,"K.K. Coe","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070102353&origin=inward",13,"2024-07-12 11:39:29","Article","10.1111/pce.13613","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/85070102353",42,11,3140,3151,12,2.40,12,1,5,"","",""
11,"K.K. Coe","Physiology-based prognostic modeling of the influence of changes in precipitation on a keystone dryland plant species",2014,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920147265&origin=inward",14,"2024-07-12 11:39:29","Article","10.1007/s00442-014-3067-7","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/84920147265",176,4,933,942,11,1.10,11,1,10,"","",""
11,"J. Royles","Interpreting bryophyte stable carbon isotope composition: Plants as temporal and spatial climate recorders",2014,"Geochemistry, Geophysics, Geosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901365932&origin=inward",15,"2024-07-12 11:39:29","Article","10.1002/2013GC005169","1525-2027","https://api.elsevier.com/content/abstract/scopus_id/84901365932",15,4,1462,1475,11,1.10,11,1,10,"","",""
