Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
112,"S. Kanerva","Phenolic compounds and terpenes in soil organic horizon layers under silver birch, Norway spruce and Scots pine",2008,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43149092906&origin=inward",1,"2024-07-11 09:29:51","Article","10.1007/s00374-007-0234-6","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/43149092906",44,4,547,556,112,7.00,112,1,16,"","",""
112,"O. Skre","Moss functioning in different taiga ecosystems in interior Alaska - I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003108366&origin=inward",2,"2024-07-11 09:29:51","Article","10.1007/BF00346987","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0003108366",48,1,50,59,112,2.60,112,1,43,"","",""
37,"L. Maanavilja","Spatial variation in CO<inf>2</inf> exchange at a northern aapa mire",2011,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957830843&origin=inward",3,"2024-07-11 09:29:51","Article","10.1007/s10533-010-9505-7","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/79957830843",104,1,325,345,37,2.85,37,1,13,"","",""
37,"U. Hagemann","Accumulation and preservation of dead wood upon burial by bryophytes",2010,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953540722&origin=inward",4,"2024-07-11 09:29:51","Article","10.1007/s10021-010-9343-4","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/77953540722",13,4,600,611,37,2.64,37,1,14,"","",""
21,"O. Skre","Patterns of translocation of carbon in four common moss species in a black spruce ( Picea mariana) dominated forest in interior Alaska.",1983,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020903514&origin=inward",5,"2024-07-11 09:29:51","Article","10.1139/x83-117","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0020903514",13,5,869,878,21,0.51,21,1,41,"","",""
17,"E.M. ARO","Effect of Continous Light on CO<inf>2</inf> Fixation and Chloroplast Structure of the Mosses Pleurozium schreberi and Ceratodon purpureus",1979,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84981641711&origin=inward",6,"2024-07-11 09:29:51","Article","10.1111/j.1399-3054.1979.tb02614.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/84981641711",45,4,460,466,17,0.38,17,1,45,"","",""
16,"S.K. Rice","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959562345&origin=inward",7,"2024-07-11 09:29:51","Article","10.1639/0007-2745-114.2.367","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/79959562345",114,2,367,378,16,1.23,16,1,13,"","",""
14,"A.L. Dunn","Landscape heterogeneity, soil climate, and carbon exchange in a boreal black spruce forest",2009,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65349128782&origin=inward",8,"2024-07-11 09:29:51","Article","10.1890/07-0771.1","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/65349128782",19,2,495,504,14,0.93,14,1,15,"","",""
7,"X. Zhu","Sphagnum outcompetes feathermosses in their photosynthetic adaptation to postharvest black spruce forests",2019,"Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075244122&origin=inward",9,"2024-07-11 09:29:51","Article","10.1139/cjb-2019-0076","1916-2804","https://api.elsevier.com/content/abstract/scopus_id/85075244122",97,11,585,597,7,1.40,7,1,5,"","",""
5,"W. Winner","Photosynthesis and respiration of feather mosses fumigated at different hydration levels with SO<inf>2</inf>.",1983,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021057614&origin=inward",10,"2024-07-11 09:29:51","Article","10.1139/b83-158","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/0021057614",61,5,1456,1461,5,0.12,5,1,41,"","",""
4,"K.E. Mason","Boreal Forest Floor Greenhouse Gas Emissions Across a Pleurozium schreberi-Dominated, Wildfire-Disturbed Chronosequence",2019,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062644671&origin=inward",11,"2024-07-11 09:29:51","Article","10.1007/s10021-019-00344-2","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/85062644671",22,6,1381,1392,4,0.80,4,1,5,"","",""
1,"A.M. Botroh","Nine-years effect of harvesting and mechanical site preparation on bryophyte decomposition and carbon stocks in a boreal forested peatland",2023,"Forest Ecology and Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0378112723002542","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85154048297&origin=inward",12,"2024-07-11 09:29:51","Article","10.1016/j.foreco.2023.121020","0378-1127","https://api.elsevier.com/content/abstract/scopus_id/85154048297",540,,,,1,1.00,1,1,1,"","",""
