Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
32,"D Schmitz, CERG Schaefer, J Putzke, MR Francelino…","How does the pedoenvironmental gradient shape non-vascular species assemblages and community structures in Maritime Antarctica?",2020,"Ecological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X19307198","https://scholar.google.com/scholar?cites=5079670606896231339&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 09:27:13","","","","",,,,,32,8.00,6,5,4,"… coverage, soil texture and soil fertility on non-vascular species richness and composition. So, to evaluate the ecological patterns of non-vascular species diversity at fine scale, we asked …","","https://scholar.google.com/scholar?q=related:q_MK9ICdfkYJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
22,"A Promis, S Gärtner, A Reif, G Cruz","Effects of canopy gaps on forest floor vascular and non-vascular plant species composition and diversity in an uneven-aged Nothofagus betuloides …",2012,"Community Ecology","akjournals.com","https://akjournals.com/view/journals/168/13/2/article-p145.xml","https://scholar.google.com/scholar?cites=10858582451859289130&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 09:27:13","","10.1556/ComEc.13.2012.2.3","","",,,,,22,1.83,6,4,12,"… of the continent and this same richness of nonvascular plant species was found in our study where … availability was not found to influence the plant community composition in this study. …","https://link.springer.com/content/pdf/10.1556/ComEc.13.2012.2.3.pdf","https://scholar.google.com/scholar?q=related:KvRcbzVvsZYJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
0,"M Cárdenas‐Henao, DE Stanton","Vascular plant taxonomic and functional richness differentially affect non‐vascular photoautotroph communities",2024,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.10494","",3,"2024-07-25 09:27:13","","10.1111/oik.10494","","",,,,,0,0.00,0,2,1,"… Despite being presented as plant biodiversity experiments, non-vascular plants have been entirely … Temporal variation in community composition, pigmentation, and Fv/ Fm of desert …","https://nsojournals.onlinelibrary.wiley.com/doi/pdf/10.1111/oik.10494","https://scholar.google.com/scholar?q=related:IvjLVpsbCiMJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
0,"H Cui, S Chen, H Song, Z Liu, J Chen…","Contrasting mechanisms of non‐vascular and vascular plants on spatial turnover in multifunctionality in the Antarctic continent",2024,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.14346","",4,"2024-07-25 09:27:13","","10.1111/1365-2745.14346","","",,,,,0,0.00,0,6,1,"… Both non‐vascular and vascular plants were associated with increased β‐multifunctionality … in early successional stages (dominated by non‐vascular plants), while the importance of …","","https://scholar.google.com/scholar?q=related:_3BefUN1wJUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 09:27:13","","","","",,,,,37,5.29,19,2,7,"… Studies examining NVP response traits found species exhibit intraspecific variation along environmental gradients, and NVP community composition is subject to both biotic and abiotic …","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
37,"K Affeld, J Sullivan, SP Worner…","Can spatial variation in epiphyte diversity and community structure be predicted from sampling vascular epiphytes alone?",2008,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2008.01949.x","https://scholar.google.com/scholar?cites=14165513614831291310&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 09:27:13","","10.1111/j.1365-2699.2008.01949.x","","",,,,,37,2.31,9,4,16,"… and community composition across geographic regions, among trees within regions, and among branches within trees is consistent between the vascular and non-vascular components …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2008.01949.x","https://scholar.google.com/scholar?q=related:rov6oJQDlsQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
0,"E Soto-Medina, C Montoya, A Castaño…","Diversity patterns of vascular and non-vascular epiphytes along tropical dry forest",2023,"Revista de Biología …","scielo.sa.cr","https://www.scielo.sa.cr/scielo.php?pid=S0034-77442023000100054&script=sci_arttext&tlng=en","",7,"2024-07-25 09:27:13","HTML","","","",,,,,0,0.00,0,4,1,"… Non-vascular epiphytes strongly depend on deterministic factors such as microclimate and … already showing changes in their community composition with small environmental changes. …","https://www.scielo.sa.cr/scielo.php?pid=S0034-77442023000100054&script=sci_arttext&tlng=en","https://scholar.google.com/scholar?q=related:uvrIhBhzNMoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
52,"RE Roos, K van Zuijlen, T Birkemoe…","Contrasting drivers of community‐level trait variation for vascular plants, lichens and bryophytes across an elevational gradient",2019,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13454","https://scholar.google.com/scholar?cites=10011553487548484787&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 09:27:13","","10.1111/1365-2435.13454","","",,,,,52,10.40,13,4,5,"… non-vascular primary producers such as lichens and bryophytes. We hypothesized that intraspecific variation is more important for non-vascular … centroid for community composition for …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.13454","https://scholar.google.com/scholar?q=related:s4wme9ou8IoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
41,"CM Gibson, MR Turetsky, K Cottenie…","Variation in plant community composition and vegetation carbon pools a decade following a severe fire season in interior Alaska",2016,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12443","https://scholar.google.com/scholar?cites=12952212433203122544&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 09:27:13","","10.1111/jvs.12443","","",,,,,41,5.13,10,4,8,"… Fire severity was a strong control on post‐fire tree and non‐vascular species composition. Ten years post‐fire, sites that experienced deeper burning of organic layers had a higher …","https://www.jstor.org/stable/pdf/44132706.pdf","https://scholar.google.com/scholar?q=related:cFF4kJWAv7MJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
9,"J Asplund, K van Zuijlen, RE Roos…","Divergent responses of functional diversity to an elevational gradient for vascular plants, bryophytes and lichens",2022,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.13105","https://scholar.google.com/scholar?cites=5530433452318862715&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 09:27:13","","10.1111/jvs.13105","","",,,,,9,4.50,2,4,2,"… plants, and stress-tolerant non-vascular photoautotrophs, eg … free up niche space for non-vascular vegetation. Therefore, we … trait and species community composition data of vascular …","https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2993557/J%2BVegetation%2BScience%2B-%2B2021%2B-%2BAsplund%2B-%2BDivergent%2Bresponses%2Bof%2Bfunctional%2Bdiversity%2Bto%2Ban%2Belevational%2Bgradient%2Bfor%2Bvascular.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ey1nY-wLwEwJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22community+composition%22&hl=en&as_sdt=2007"
