Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 10:21:59","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… SLA was strongly and significantly affected by bryophyte species, but did not vary between stands; in general, there was no significant difference between the SLA of non-Sphagnum …","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
20,"J Talbot, NT Roulet, O Sonnentag, TR Moore","Increases in aboveground biomass and leaf area 85 years after drainage in a bog",2014,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2013-0319","https://scholar.google.com/scholar?cites=7558320709358660128&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 10:21:59","","10.1139/cjb-2013-0319","","",,,,,20,2.00,5,4,10,"… , we studied changes in biomass and leaf area index following drainage 85 years previously of a bog… Leaf area index approximately tripled in sites where trees grew. Sphagnum L. moss …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2013-0319","https://scholar.google.com/scholar?q=related:ICrNs6OM5GgJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
134,"J Kim, SB Verma","Surface exchange of water vapour between an open Sphagnum fen and the atmosphere",1996,"Boundary-Layer Meteorology","Springer","https://link.springer.com/article/10.1007/BF00119440","https://scholar.google.com/scholar?cites=17954358571412294462&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 10:21:59","","10.1007/BF00119440","","",,,,,134,4.79,67,2,28,"… The subscript s refers to the Sphagnum component and the subscript … leaf area index. The measured XE and H above the canopy represent the sum of the two components (Sphagnum …","https://www.academia.edu/download/89518828/BF00119440.pdf","https://scholar.google.com/scholar?q=related:PgsFk_6xKvkJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
13,"T Hirano, H Yamada, M Takada, Y Fujimura…","Effects of the expansion of vascular plants in Sphagnum-dominated bog on evapotranspiration",2016,"Agricultural and forest …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168192316300417","https://scholar.google.com/scholar?cites=11007243148601380296&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 10:21:59","","","","",,,,,13,1.63,3,5,8,"… leaf area index (LAI) at the Sasa site, ET was 2.14 ± 0.03 (mean ± 1 standard deviation of the four years) and 1.92 ± 0.19 mm d −1 , respectively, at the Sphagnum … At the Sphagnum site, …","https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/68178/1/AFM220_90-100.pdf","https://scholar.google.com/scholar?q=related:yM28JFOVwZgJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 10:21:59","","","","",,,,,10,2.00,3,3,5,"… Two widely measured plant traits are specific leaf area (SLA, the ratio of leaf area to leaf dry mass) and leaf dry matter content (LDMC, the ratio of leaf dry mass to leaf fresh mass). SLA …","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
35,"M Chong, E Humphreys, TR Moore","Microclimatic response to increasing shrub cover and its effect on Sphagnum CO2 exchange in a bog",2012,"Ecoscience","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.2980/19-1-3489","https://scholar.google.com/scholar?cites=7016472488886413753&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 10:21:59","","10.2980/19-1-3489","","",,,,,35,2.92,12,3,12,"… An increase in leaf area index (LAI) was negatively correlated with light transmission … A laboratory study of the environmental controls on Sphagnum capillifolium carbon dioxide (CO2) …","https://www.jstor.org/stable/pdf/42902229.pdf","https://scholar.google.com/scholar?q=related:uSlgxI2EX2EJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
73,"KC Burns","Patterns in specific leaf area and the structure of a temperate heath community",2004,"Diversity and Distributions","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1366-9516.2004.00058.x","https://scholar.google.com/scholar?cites=6470639023366085350&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 10:21:59","","10.1111/j.1366-9516.2004.00058.x","","",,,,,73,3.65,73,1,20,"… Lakes are then encroached by Sphagnum mosses, which start the process of ‘terrestrialization’ (van Breemen, 1995). After Sphagnum and other plants die, they decay slowly in the cold…","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1366-9516.2004.00058.x","https://scholar.google.com/scholar?q=related:5hqEqehTzFkJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
46,"SK Rice, PH Schuepp","On the ecological and evolutionary significance OF BRANCH AND LEAF MORPHOLOGY IN aquatic Sphagnum (Sphagnaceae)",1995,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1995.tb15699.x","https://scholar.google.com/scholar?cites=13811813925791980383&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 10:21:59","","10.1002/j.1537-2197.1995.tb15699.x","","",,,,,46,1.59,23,2,29,"… Often leaftips were inrolled, and total leafarea was calculated by adding the total leaf area to that within the area of overlap. Other measures are projected dimensions. …","https://www.jstor.org/stable/pdf/2445969.pdf","https://scholar.google.com/scholar?q=related:X9ufXpZrrb8J:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
7,"A Sytiuk, R Céréghino, S Hamard, F Delarue…","Biochemical traits enhance the trait concept in Sphagnum ecology",2022,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.09119","https://scholar.google.com/scholar?cites=1064113375253746076&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 10:21:59","","10.1111/oik.09119","","",,,,,7,3.50,1,5,2,"… We measured the number of hyaline cells per leaf area (number of hyaline cells per mm 2 ), their surface (µm 2 ), as well as the width of chlorocystes (µm) using a light microscope …","https://hal.science/hal-03792880/file/SYTIUK_main%20%23OIK-09119_vf.pdf","https://scholar.google.com/scholar?q=related:nNG9FHp9xA4J:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
1,"B Solinsky","The effect of canopy organization on the photosynthesis of Sphagnum",2013,"","digitalworks.union.edu","https://digitalworks.union.edu/theses/732/","https://scholar.google.com/scholar?cites=5092096978311010849&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 10:21:59","","","","",,,,,1,0.09,1,1,11,"… Sphagnum moss stores more than a third of the world’s soil carbon. Much … Sphagnum, but what is generally not understood is the effect of variation in canopy organization in Sphagnum: …","https://digitalworks.union.edu/cgi/viewcontent.cgi?article=1760&context=theses","https://scholar.google.com/scholar?q=related:IVoRAjnDqkYJ:scholar.google.com/&scioq=sphagnum+%22leaf+area%22&hl=en&as_sdt=2007"
