Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"B Lafleur, D Paré, NJ Fenton, Y Bergeron","Growth and nutrition of black spruce seedlings in response to disruption of Pleurozium and Sphagnum moss carpets in boreal forested peatlands",2011,"Plant and soil","Springer","https://link.springer.com/article/10.1007/s11104-011-0767-1","https://scholar.google.com/scholar?cites=14207742841482403443&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 09:43:56","HTML","10.1007/s11104-011-0767-1","","",,,,,36,2.77,9,4,13,"… substrate temperature both in Pleurozium and Sphagnum. Substrate disturbance is known to increase substrate temperature through reduced bulk density (Spittlehouse and Stathers …","https://link.springer.com/article/10.1007/s11104-011-0767-1","https://scholar.google.com/scholar?q=related:c16optYKLMUJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
57,"BW Benscoter, DH Vitt","Evaluating feathermoss growth: a challenge to traditional methods and implications for the boreal carbon budget",2007,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2745.2006.01180.x","https://scholar.google.com/scholar?cites=7050395168675051008&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 09:43:56","","10.1111/j.1365-2745.2006.01180.x","","",,,,,57,3.35,29,2,17,"… The results of this study provide a non-destructive method of measuring Pleurozium schreberi production that is more accurate than traditional methods using the bulk density of the …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2745.2006.01180.x","https://scholar.google.com/scholar?q=related:ALYBIw0J2GEJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
5,"KE Mason, S Oakley, LE Street, M Arróniz-Crespo…","Boreal Forest Floor Greenhouse Gas Emissions Across a Pleurozium schreberi-Dominated, Wildfire-Disturbed Chronosequence",2019,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-019-00344-2","https://scholar.google.com/scholar?cites=14412847590987695206&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 09:43:56","HTML","10.1007/s10021-019-00344-2","","",,,,,5,1.00,1,5,5,"… One soil core (5 cm diameter, 10 cm depth) was taken from the centre of the collar to measure soil horizon depth, bulk density, and total soil C and N content. Estimates of cover by …","https://link.springer.com/article/10.1007/s10021-019-00344-2","https://scholar.google.com/scholar?q=related:ZoSqfoW4BMgJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
76,"T Hájek, ES Tuittila, M Ilomets, R Laiho","Light responses of mire mosses–a key to survival after water‐level drawdown?",2009,"Oikos","Wiley Online Library","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2008.16528.x","https://scholar.google.com/scholar?cites=10955330251575589616&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-12 09:43:56","HTML","10.1111/j.1600-0706.2008.16528.x","","",,,,,76,5.07,19,4,15,"… Pleurozium schreberi reached photosynthetic light saturation at half the irradiance level … -dried at 60C and weighed to obtain the bulk density, ie mass per unit volume for each shoot …","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2008.16528.x","https://scholar.google.com/scholar?q=related:8PpA6tEmCZgJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
101,"T Asada, BG Warner, A Banner","Growth of mosses in relation to climate factors in a hypermaritime coastal peatland in British Columbia, Canada",2003,"Bryologist","JSTOR","https://www.jstor.org/stable/3244611","https://scholar.google.com/scholar?cites=15906155653381829338&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 09:43:56","","","","",,,,,101,4.81,34,3,21,"… year if we assume that the bulk density was consistent over the two years. … of bulk density, shoot density, and annual growth and production of Racomitrium lanuginosum and Pleurozium …","https://www.jstor.org/stable/pdf/3244611.pdf","https://scholar.google.com/scholar?q=related:2jLl1UoEvtwJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
14,"SK Rice, TA Gagliardi, RA Krasa","Canopy structure affects temperature distributions and free convection in moss shoot systems",2018,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1145","https://scholar.google.com/scholar?cites=12579384663811399281&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-12 09:43:56","","10.1002/ajb2.1145","","",,,,,14,2.33,5,3,6,"… Four samples from each of two species that differed in shoot structure, Pleurozium schreberi … Given the bulk density of the mulch was 50% greater than the bryophyte canopies in this …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ajb2.1145","https://scholar.google.com/scholar?q=related:cZ55C7Tzkq4J:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
24,"IE Bauer, D Tirlea, JS Bhatti, RC Errington","Environmental and biotic controls on bryophyte productivity along forest to peatland ecotones",2007,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/B07-045","https://scholar.google.com/scholar?cites=14577630188081319624&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 09:43:56","","10.1139/B07-045","","",,,,,24,1.41,6,4,17,"… Schwaegr., and it remained constant in Pleurozium schreberi … (i) in some species, changes in bulk density are likely to be an … Oeder and Salix spp., with Pleurozium schreberi (Brid.) Mitt. …","https://cdnsciencepub.com/doi/pdf/10.1139/B07-045","https://scholar.google.com/scholar?q=related:yA6Zo2slTsoJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
56,"G Brūmelis, L Lapiņa, O Nikodemus…","Use of the O horizon of forest soils in monitoring metal deposition in Latvia",2002,"Water, Air, and Soil …","Springer","https://link.springer.com/article/10.1023/A:1014714111050","https://scholar.google.com/scholar?cites=1688033864394614170&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 09:43:56","","10.1023/A:1014714111050","","",,,,,56,2.55,14,4,22,"… in the O horizon and Pleurozium schreberi were achieved for … a major soil factor related to bulk density (volume- and area-… in the bulk density, ie, a sample with a greater bulk density (…","https://link.springer.com/content/pdf/10.1023/A:1014714111050.pdf","https://scholar.google.com/scholar?q=related:miUSKNsZbRcJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
2,"E Jabłońska, W Kotowski, NA Soudzilovskaia","Desiccation avoidance and hummock formation traits of rich fen bryophytes",2023,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?cites=10676949426722999587&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-12 09:43:56","HTML","10.1007/s13157-023-01669-4","","",,,,,2,2.00,1,3,1,"… of NE Poland, we calculated: canopy bulk density of wet (CDW) and … Using dry mass for calculating canopy bulk density (CDD), gives … correlated with canopy bulk density (our CDD trait). …","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?q=related:I42iSO8kLJQJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
119,"NA Soudzilovskaia, PM van Bodegom…","Dominant bryophyte control over high‐latitude soil temperature fluctuations predicted by heat transfer traits, field moisture regime and laws of thermal insulation",2013,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12127","https://scholar.google.com/scholar?cites=1889312717736910225&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-12 09:43:56","","10.1111/1365-2435.12127","","",,,,,119,10.82,40,3,11,"… species, our values for Pleurozium schreberi, Hylocomium … , should depend on moss bulk density. We conclude tentatively … this analysis we used a bulk density measurement, which did …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12127","https://scholar.google.com/scholar?q=related:kR1WIugvOBoJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
2,"AM Botroh, D Paré, X Cavard, N Fenton…","Nine-years effect of harvesting and mechanical site preparation on bryophyte decomposition and carbon stocks in a boreal forested peatland",2023,"Forest Ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112723002542","https://scholar.google.com/scholar?cites=14921249728513579014&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-12 09:43:56","HTML","","","",,,,,2,2.00,0,5,1,"… The mass loss rate of three bryophytes (Pleurozium schreberi, Sphagnum … soil bulk density, C concentration and layers thickness. Log-transformation was applied to the bulk density and …","https://www.sciencedirect.com/science/article/pii/S0378112723002542","https://scholar.google.com/scholar?q=related:BhjyaJLtEs8J:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
0,"L TRUUS, M ILOMETS, K SEPP, R PAJULA","VEGETATION AND NUTRIENT CONDITIONS IN PARTLY DRAINED EXTREMELY-RICH (CALCAREOUS) PARASPÕLLU FEN IN NORTH ESTONIA",,"","","","",12,"2024-07-12 09:43:56","CITATION","","","",,,,,0,0.00,0,4,,"","","https://scholar.google.com/scholar?q=related:H0OKSr3_lEEJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
20,"SM Thielen, C Gall, M Ebner, M Nebel…","Water's path from moss to soil: A multi-methodological study on water absorption and evaporation of soil-moss combinations",2021,"Journal of Hydrology …","intapi.sciendo.com","https://intapi.sciendo.com/pdf/10.2478/johh-2021-0021","https://scholar.google.com/scholar?cites=57057942810705158&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-12 09:43:56","PDF","10.2478/johh-2021-0021","","",,,,,20,6.67,4,5,3,"… Additionally, we tested for a joint impact on soil WSCmax using a GAM with soil bulk density, … (Picea mariana) canopy and feather moss (Pleurozium schreberi) carpet in the boreal forest …","https://intapi.sciendo.com/pdf/10.2478/johh-2021-0021","https://scholar.google.com/scholar?q=related:Br3YjOW1ygAJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
0,"L Lapiña, O Nikodemus, G Tabors","Use of the O Horizon of Forest Soils in Monitoring Metal Deposition in Latvia.",2002,"Water, Air &Soil …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00496979&AN=16603691&h=5jH%2BoJx%2B7jHEDdu5NTgnZkIKoLk0cq1abSObJDj2hoxFARXb0lTAIHdEy7Cfm%2FT6Nuh6QSKBVV5rXHk3wL%2BI%2Bw%3D%3D&crl=c","",14,"2024-07-12 09:43:56","","","","",,,,,0,0.00,0,3,22,"… in the O horizon and Pleurozium schreberi were achieved for … a major soil factor related to bulk density (volume- and area-… in the bulk density, ie, a sample with a greater bulk density (…","https://scholar.google.com/scholar?output=instlink&q=info:DPDEcIjpDJEJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=2306758962165858814&oi=lle","https://scholar.google.com/scholar?q=related:DPDEcIjpDJEJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
1,"JM Glime","Roles of Bryophytes in Forest Sustainability—Positive or Negative?",2024,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/16/6/2359","https://scholar.google.com/scholar?cites=1882082259849763573&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-12 09:43:56","HTML","","","",,,,,1,1.00,1,1,1,"Bryophytes were traditionally ignored in most studies of forest ecosystem processes, or they were included with litter or soil. In the last few decades we have begun to understand their …","https://www.mdpi.com/2071-1050/16/6/2359","https://scholar.google.com/scholar?q=related:9dpo-Nd_HhoJ:scholar.google.com/&scioq=pleurozium+%22bulk+density%22&hl=en&as_sdt=2007"
