Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
122,"W. Hartung","The evolution of abscisic acid (ABA) and ABA function in lower plants, fungi and lichen",2010,"Functional Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956298295&origin=inward",1,"2024-07-01 12:37:38","Review","10.1071/FP10058","1445-4408","https://api.elsevier.com/content/abstract/scopus_id/77956298295",37,9,806,812,122,8.71,122,1,14,"","",""
103,"P.A. Niklaus","Synthesis of a six-year study of calcareous grassland responses to in situ CO<inf>2</inf> enrichment",2004,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3142599994&origin=inward",2,"2024-07-01 12:37:38","Article","10.1890/03-4047","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/3142599994",74,3,491,511,103,5.15,103,1,20,"","",""
98,"G.L. Vourlitis","Eddy covariance measurements of CO<inf>2</inf> and energy fluxes of an Alaskan tussock tundra ecosystem",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032981988&origin=inward",3,"2024-07-01 12:37:38","Article","10.1890/0012-9658(1999)080[0686:ECMOCA]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032981988",80,2,686,701,98,3.92,98,1,25,"","",""
94,"J. Gago","Photosynthesis Optimized across Land Plant Phylogeny",2019,"Trends in Plant Science","","https://api.elsevier.com/content/article/eid/1-s2.0-S1360138519301657","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069713506&origin=inward",4,"2024-07-01 12:37:38","Review","10.1016/j.tplants.2019.07.002","1360-1385","https://api.elsevier.com/content/abstract/scopus_id/85069713506",24,10,947,958,94,18.80,94,1,5,"","",""
83,"N. Soudzilovskaia","Dominant bryophyte control over high-latitude soil temperature fluctuations predicted by heat transfer traits, field moisture regime and laws of thermal insulation",2013,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887828151&origin=inward",5,"2024-07-01 12:37:38","Article","10.1111/1365-2435.12127","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/84887828151",27,6,1442,1454,83,7.55,83,1,11,"","",""
74,"S. Rice","Functional significance of variation in bryophyte canopy structure",2001,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000630961&origin=inward",6,"2024-07-01 12:37:38","Article","10.2307/3558400","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0000630961",88,9,1568,1576,74,3.22,74,1,23,"","",""
68,"J. Flexas","Photosynthesis and photosynthetic efficiencies along the terrestrial plant’s phylogeny: lessons for improving crop photosynthesis",2020,"Plant Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078677579&origin=inward",7,"2024-07-01 12:37:38","Article","10.1111/tpj.14651","0960-7412","https://api.elsevier.com/content/abstract/scopus_id/85078677579",101,4,964,978,68,17.00,68,1,4,"","",""
66,"M. Carriquí","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060978977&origin=inward",8,"2024-07-01 12:37:38","Article","10.1111/nph.15675","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85060978977",222,3,1256,1270,66,13.20,66,1,5,"","",""
47,"M. Meyer","To concentrate or ventilate? Carbon acquisition, isotope discrimination and physiological ecology of early land plant life forms",2008,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=47249105012&origin=inward",9,"2024-07-01 12:37:38","Conference Paper","10.1098/rstb.2008.0039","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/47249105012",363,1504,2767,2778,47,2.94,47,1,16,"","",""
46,"E. Krol","Low-temperature induced transmembrane potential changes in the liverwort Conocephalum conicum",2003,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038685761&origin=inward",10,"2024-07-01 12:37:38","Article","10.1093/pcp/pcg070","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0038685761",44,5,527,533,46,2.19,46,1,21,"","",""
42,"A.V. Perera-Castro","It Is Hot in the Sun: Antarctic Mosses Have High Temperature Optima for Photosynthesis Despite Cold Climate",2020,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090014966&origin=inward",11,"2024-07-01 12:37:38","Article","10.3389/fpls.2020.01178","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85090014966",11,,,,42,10.50,42,1,4,"","",""
