Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
226,"J. Bubier","Effects of nutrient addition on vegetation and carbon cycling in an ombrotrophic bog",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250316469&origin=inward",1,"2024-07-09 10:10:30","Article","10.1111/j.1365-2486.2007.01346.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/34250316469",13,6,1168,1186,226,13.29,226,1,17,"","",""
117,"C. Lazcano","Compost and vermicompost as nursery pot components: Effects on tomato plant growth and morphology",2009,"Spanish Journal of Agricultural Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75149144052&origin=inward",2,"2024-07-09 10:10:30","Article","10.5424/sjar/2009074-1107","1695-971X","https://api.elsevier.com/content/abstract/scopus_id/75149144052",7,4,944,951,117,7.80,117,1,15,"","",""
102,"O. Sonnentag","Mapping tree and shrub leaf area indices in an ombrotrophic peatland through multiple endmember spectral unmixing",2007,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425707000375","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250348770&origin=inward",3,"2024-07-09 10:10:30","Article","10.1016/j.rse.2007.01.010","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/34250348770",109,3,342,360,102,6.00,102,1,17,"","",""
83,"R. Juszczak","Ecosystem respiration in a heterogeneous temperate peatland and its sensitivity to peat temperature and water table depth",2013,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876448019&origin=inward",4,"2024-07-09 10:10:30","Article","10.1007/s11104-012-1441-y","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84876448019",366,1,505,520,83,7.55,83,1,11,"","",""
70,"A.J. Glenn","Comparison of net ecosystem CO<inf>2</inf> exchange in two peatlands in western Canada with contrasting dominant vegetation, Sphagnum and Carex",2006,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192306002140","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750603242&origin=inward",5,"2024-07-09 10:10:30","Article","10.1016/j.agrformet.2006.03.020","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/33750603242",140,1,115,135,70,3.89,70,1,18,"","",""
55,"B. Bond-Lamberty","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947318389&origin=inward",6,"2024-07-09 10:10:30","Article","10.1007/s00442-006-0619-5","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/33947318389",151,4,584,592,55,3.24,55,1,17,"","",""
52,"D. Dannehl","Evaluation of substitutes for rock wool as growing substrate for hydroponic tomato production",2015,"Journal of Applied Botany and Food Quality","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945195126&origin=inward",7,"2024-07-09 10:10:30","Article","10.5073/JABFQ.2015.088.010","1613-9216","https://api.elsevier.com/content/abstract/scopus_id/84945195126",88,,68,77,52,5.78,52,1,9,"","",""
52,"E. Bortoluzzi","Carbon balance of a European mountain bog at contrasting stages of regeneration",2006,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750627486&origin=inward",8,"2024-07-09 10:10:30","Article","10.1111/j.1469-8137.2006.01859.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/33750627486",172,4,708,718,52,2.89,52,1,18,"","",""
46,"S. Kivimäki","Carbon sink function of sedge and Sphagnum patches in a restored cut-away peatland: Increased functional diversity leads to higher production",2008,"Journal of Applied Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=42949132747&origin=inward",9,"2024-07-09 10:10:30","Article","10.1111/j.1365-2664.2008.01458.x","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/42949132747",45,3,921,929,46,2.88,46,1,16,"","",""
43,"H. Sendi","Spent mushroom waste as a media replacement for peat moss in Kai-Lan (Brassica oleracea var Alboglabra) production",2013,"The Scientific World Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884845550&origin=inward",10,"2024-07-09 10:10:30","Article","10.1155/2013/258562","1537-744X","https://api.elsevier.com/content/abstract/scopus_id/84884845550",2013,,,,43,3.91,43,1,11,"","",""
43,"W.C. Oechel","Nutrient and water flux in a small arctic watershed: an overview",1989,"Ecography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024823055&origin=inward",11,"2024-07-09 10:10:30","Article","10.1111/j.1600-0587.1989.tb00843.x","0906-7590","https://api.elsevier.com/content/abstract/scopus_id/0024823055",12,3,229,237,43,1.23,43,1,35,"","",""
40,"C. Ward","Do Boreal Forests Need Fire Disturbance to Maintain Productivity?",2014,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906093785&origin=inward",12,"2024-07-09 10:10:30","Article","10.1007/s10021-014-9782-4","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/84906093785",17,6,1053,1067,40,4.00,40,1,10,"","",""
37,"L. Maanavilja","Spatial variation in CO<inf>2</inf> exchange at a northern aapa mire",2011,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957830843&origin=inward",13,"2024-07-09 10:10:30","Article","10.1007/s10533-010-9505-7","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/79957830843",104,1,325,345,37,2.85,37,1,13,"","",""
36,"S. Strilesky","A comparison of the net ecosystem exchange of carbon dioxide and evapotranspiration for treed and open portions of a temperate peatland",2012,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192311001833","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856364318&origin=inward",14,"2024-07-09 10:10:30","Article","10.1016/j.agrformet.2011.06.006","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/84856364318",153,,45,53,36,3.00,36,1,12,"","",""
34,"E. Samaritani","Seasonal Net Ecosystem Carbon Exchange of a Regenerating Cutaway Bog: How Long Does it Take to Restore the C-Sequestration Function?",2011,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959785990&origin=inward",15,"2024-07-09 10:10:30","Article","10.1111/j.1526-100X.2010.00662.x","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/79959785990",19,4,480,489,34,2.62,34,1,13,"","",""
34,"M. Ozores-Hampton","Yard trimming-biosolids compost: Possible alternative to sphagnum peat moss in tomato transplant production",1999,"Compost Science and Utilization","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0005821188&origin=inward",16,"2024-07-09 10:10:30","Article","10.1080/1065657X.1999.10701983","1065-657X","https://api.elsevier.com/content/abstract/scopus_id/0005821188",7,4,42,49,34,1.36,34,1,25,"","",""
33,"Y. Wang","Impact of salinity and media on growth and flowering of a hybrid Phalaenopsis orchid",1998,"HortScience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031979628&origin=inward",17,"2024-07-09 10:10:30","Article","","0018-5345","https://api.elsevier.com/content/abstract/scopus_id/0031979628",33,2,247,250,33,1.27,33,1,26,"","",""
32,"A.H.A. Khan","Soil amendments enhanced the growth of Nicotiana alata L. and Petunia hydrida L. by stabilizing heavy metals from wastewater",2019,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479719304979","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064770822&origin=inward",18,"2024-07-09 10:10:30","Article","10.1016/j.jenvman.2019.04.040","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85064770822",242,,46,55,32,6.40,32,1,5,"","",""
32,"S. Admiral","Partitioning of latent heat flux at a northern peatland",2007,"Aquatic Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304377006001331","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845433343&origin=inward",19,"2024-07-09 10:10:30","Article","10.1016/j.aquabot.2006.09.006","0304-3770","https://api.elsevier.com/content/abstract/scopus_id/33845433343",86,2,107,116,32,1.88,32,1,17,"","",""
28,"Y.T. Wang","Fertilizer source and medium composition affect vegetative growth and mineral nutrition of a hybrid moth orchid",2002,"Journal of the American Society for Horticultural Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036216534&origin=inward",20,"2024-07-09 10:10:30","Article","10.21273/jashs.127.3.442","0003-1062","https://api.elsevier.com/content/abstract/scopus_id/0036216534",127,3,442,447,28,1.27,28,1,22,"","",""
26,"F. Keuper","Tundra in the rain: Differential vegetation responses to three years of experimentally doubled summer precipitation in siberian shrub and swedish bog tundra",2012,"Ambio","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867440545&origin=inward",21,"2024-07-09 10:10:30","Article","10.1007/s13280-012-0305-2","0044-7447","https://api.elsevier.com/content/abstract/scopus_id/84867440545",41,,269,280,26,2.17,26,1,12,"","",""
25,"M. Lang","Digital photography for tracking the phenology of an evergreen conifer stand",2017,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192317301879","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020468149&origin=inward",22,"2024-07-09 10:10:30","Article","10.1016/j.agrformet.2017.05.021","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/85020468149",246,,15,21,25,3.57,25,1,7,"","",""
24,"M. Chong","Microclimatic response to increasing shrub cover and its effect on Sphagnum CO<inf>2</inf> exchange in a bog",2012,"Ecoscience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84861405846&origin=inward",23,"2024-07-09 10:10:30","Article","10.2980/19-1-3489","1195-6860","https://api.elsevier.com/content/abstract/scopus_id/84861405846",19,1,89,97,24,2.00,24,1,12,"","",""
22,"K. Shimoyama","Controls on evapotranspiration in a west Siberian bog",2004,"Journal of Geophysical Research: Atmospheres","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3042835363&origin=inward",24,"2024-07-09 10:10:30","Article","10.1029/2003jd004114","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/3042835363",109,8,,,22,1.10,22,1,20,"","",""
21,"S. Bandopadhyay","Hyplant-derived Sun-Induced Fluorescence-A new opportunity to disentangle complex vegetation signals from diverse vegetation types",2019,"Remote Sensing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071582509&origin=inward",25,"2024-07-09 10:10:30","Article","10.3390/rs11141691","2072-4292","https://api.elsevier.com/content/abstract/scopus_id/85071582509",11,14,,,21,4.20,21,1,5,"","",""
21,"V. Nalliah","Evaluation of a plant-controlled subsurface drip irrigation system",2009,"Biosystems Engineering","","https://api.elsevier.com/content/article/eid/1-s2.0-S1537511008003644","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=60349095573&origin=inward",26,"2024-07-09 10:10:30","Article","10.1016/j.biosystemseng.2008.11.011","1537-5110","https://api.elsevier.com/content/abstract/scopus_id/60349095573",102,3,313,320,21,1.40,21,1,15,"","",""
20,"S. Elowson","Dynamics of leaf minerals, bdleaf area, and biomass from hardwoods intensively grown on a peat bog",1988,"Trees","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000966215&origin=inward",27,"2024-07-09 10:10:30","Article","10.1007/BF00196753","0931-1890","https://api.elsevier.com/content/abstract/scopus_id/0000966215",2,2,84,91,20,0.56,20,1,36,"","",""
17,"C.L. Lyons","Simulated climate warming increases plant community heterogeneity in two types of boreal peatlands in north–central Canada",2020,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088381526&origin=inward",28,"2024-07-09 10:10:30","Article","10.1111/jvs.12912","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/85088381526",31,5,908,919,17,4.25,17,1,4,"","",""
14,"J. Zhao","Enhanced winter soil frost reduces methane emission during the subsequent growing season in a boreal peatland",2016,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84955656061&origin=inward",29,"2024-07-09 10:10:30","Article","10.1111/gcb.13119","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/84955656061",22,2,750,762,14,1.75,14,1,8,"","",""
14,"J. Talbot","Increases in aboveground biomass and leaf area 85 years after drainage in a bog",2014,"Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907558990&origin=inward",30,"2024-07-09 10:10:30","Article","10.1139/cjb-2013-0319","1916-2804","https://api.elsevier.com/content/abstract/scopus_id/84907558990",92,10,713,721,14,1.40,14,1,10,"","",""
13,"Y.T. Wang","Phalaenopsis mineral nutrition",2010,"Acta Horticulturae","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960590022&origin=inward",31,"2024-07-09 10:10:30","Conference Paper","10.17660/actahortic.2010.878.41","0567-7572","https://api.elsevier.com/content/abstract/scopus_id/79960590022",878,,321,334,13,0.93,13,1,14,"","",""
12,"T. Yang","Evaluation of substrates for cucumber production in the Dutch bucket hydroponic system",2023,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423822006963","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140273936&origin=inward",32,"2024-07-09 10:10:30","Article","10.1016/j.scienta.2022.111578","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/85140273936",308,,,,12,12.00,12,1,1,"","",""
11,"T. Hirano","Effects of the expansion of vascular plants in Sphagnum-dominated bog on evapotranspiration",2016,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192316300417","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84955129064&origin=inward",33,"2024-07-09 10:10:30","Article","10.1016/j.agrformet.2016.01.039","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/84955129064",220,,90,100,11,1.38,11,1,8,"","",""
